日期,類型,代號,名稱,評級,分數,產業,狀態,來源摘要,基準價,樣本代號,隔日漲跌%,3日最高漲幅%,5日最高漲幅%,是否達標,是否失敗,更新時間
2026-05-20,B級,5299,杰力,B,98.5,半導體業,🔥 第一段 (主升起漲),🔥 爆量主升,104.5,,,,,,,2026-05-20 12:53:23
2026-05-20,B級,6245,立端,B,98.1,通信網路業,🔥 第一段 (主升起漲),🚀 穩步多頭,82.5999984741211,,,,,,,2026-05-20 12:53:23
2026-05-20,S級,4991,環宇-KY,S,140.8,半導體業,⏳ 觀望醞釀,⚪ 震盪,700.0,,,,,,,2026-05-20 12:53:23
2026-05-20,主動ETF,00983A,00983A,🔴 轉弱,11.4,ETF,🔴 轉弱,跌破 M10，不主動加碼,11.19,,,,,,,2026-05-20 12:53:23
2026-05-20,主動ETF,00981A,00981A,🔴 轉弱,4.0,ETF,🔴 轉弱,跌破 M10，不主動加碼,27.23,,,,,,,2026-05-20 12:53:23
2026-05-20,主動ETF,00982A,00982A,🔴 轉弱,3.6,ETF,🔴 轉弱,跌破 M10，不主動加碼,21.06,,,,,,,2026-05-20 12:53:23
2026-05-20,主動ETF,00400A,主動國泰動能高息,🔴 轉弱,2.8,ETF,🔴 轉弱,跌破 M10，不主動加碼,12.72,,,,,,,2026-05-20 12:53:23
2026-05-20,主動ETF,00980A,00980A,🔴 轉弱,1.0,ETF,🔴 轉弱,跌破 M10，不主動加碼,21.4,,,,,,,2026-05-20 12:53:23
2026-05-20,特殊關注,6126,信音,特殊關注,92.0,電子零組件業,🔥 第一段 (主升起漲),🔥 爆量主升,34.04999923706055,,,,,,,2026-05-20 12:53:23
2026-05-20,特殊關注,3169,亞信,特殊關注,91.6,半導體業,⏳ 觀望醞釀,⚪ 震盪,113.5,,,,,,,2026-05-20 12:53:23
2026-05-20,特殊關注,3147,大綜,特殊關注,89.4,資訊服務業,⏳ 觀望醞釀,⚪ 震盪,178.5,,,,,,,2026-05-20 12:53:23
2026-05-20,產業輪動,IND半導體業,半導體業,🔥 主戰場,100.0,半導體業,🔥 主戰場,可信度 高｜樣本 61｜只做龍頭回測，不追第三根,,"4991,6411,5299,3169,6829,6423,4951,4971,6187,7734",,,,,,2026-05-20 12:53:23
2026-05-20,產業輪動,IND電子零組件業,電子零組件業,🔥 主戰場,98.0,電子零組件業,🔥 主戰場,可信度 高｜樣本 57｜只做龍頭回測，不追第三根,,"5464,8109,6126,5475,3388,6173,8358,3236,3357,3114",,,,,,2026-05-20 12:53:23
2026-05-20,產業輪動,IND通信網路業,通信網路業,🔥 主戰場,88.0,通信網路業,🔥 主戰場,可信度 高｜樣本 27｜只做龍頭回測，不追第三根,,"8097,4908,6245,3095,8048,6465,6241,5353,3363,3672",,,,,,2026-05-20 12:53:23
2026-05-20,產業輪動,IND光電業,光電業,🔥 主戰場,78.0,光電業,🔥 主戰場,可信度 高｜樣本 24｜只做龍頭回測，不追第三根,,"4933,3516,5230,3128,3066,6234,3623,4995,4729,3441",,,,,,2026-05-20 12:53:23
2026-05-20,產業輪動,IND電腦及週邊設備業,電腦及週邊設備業,🟠 資金升溫,68.0,電腦及週邊設備業,🟠 資金升溫,可信度 高｜樣本 26｜可找族群強股小倉試單,,"3088,8050,3709,6570,4931,3213,5426,6121,3349,6577",,,,,,2026-05-20 12:53:23
2026-05-18,B級,3444,利機,B,193.3,電子通路業,🔥 第一段 (主升起漲),🚀 穩步多頭,96.5999984741211,,-6.0,2.48,2.48,N,Y,2026-05-20 12:54:19
2026-05-18,B級,8048,德勝,B,152.3,通信網路業,🔥 第一段 (主升起漲),🚀 穩步多頭,63.5,,-4.57,0.63,0.63,N,Y,2026-05-20 12:54:19
2026-05-18,B級,5464,霖宏,B,119.8,電子零組件業,🛡️ 第二段 (均線回踩),🛡️ 回踩 M10,57.29999923706055,,9.08,18.67,18.67,Y,N,2026-05-20 12:54:19
2026-05-18,B級,8097,常珵,B,118.4,通信網路業,🔥 第一段 (主升起漲),🚀 穩步多頭,56.29999923706055,,-1.6,3.02,3.02,Y,N,2026-05-20 12:54:19
2026-05-18,B級,8354,冠好,B,110.7,其他業,🛡️ 第二段 (均線回踩),🛡️ 回踩 M10,16.600000381469727,,-3.31,0.3,0.3,N,Y,2026-05-20 12:54:20
2026-05-18,S級,4991,環宇-KY,S,125.9,半導體業,⏳ 觀望醞釀,⚪ 震盪,698.0,,-4.44,0.29,0.29,N,Y,2026-05-20 12:54:20
2026-05-18,S級,3217,優群,S,124.3,電子零組件業,🔥 第一段 (主升起漲),🚀 穩步多頭,185.0,,2.43,4.86,4.86,Y,N,2026-05-20 12:54:20
2026-05-18,S級,4198,欣大健康,S,113.5,生技醫療業,⏳ 觀望醞釀,⚪ 震盪,39.29999923706055,,-5.09,-2.8,-2.8,N,Y,2026-05-20 12:54:20
2026-05-18,S級,6411,晶焱,S,113.2,半導體業,🛡️ 第二段 (均線回踩),🛡️ 回踩 M10,83.0,,-0.6,4.82,4.82,Y,N,2026-05-20 12:54:21
2026-05-18,S級,6462,神盾,S,111.1,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,137.5,,-4.73,4.36,4.36,Y,Y,2026-05-20 12:54:21
2026-05-18,主動ETF,00982A,00982A,🔴 轉弱,47.0,ETF,🔴 轉弱,跌破 M10，不主動加碼,22.52,,-5.64,-2.44,-2.44,N,Y,2026-05-20 12:54:21
2026-05-18,主動ETF,00980A,00980A,🔴 轉弱,31.4,ETF,🔴 轉弱,跌破 M10，不主動加碼,22.82,,-5.3,-2.19,-2.19,N,Y,2026-05-20 12:54:21
2026-05-18,主動ETF,00981A,00981A,🔴 轉弱,15.3,ETF,🔴 轉弱,跌破 M10，不主動加碼,28.24,,-2.66,0.5,0.5,N,Y,2026-05-20 12:54:21
2026-05-18,主動ETF,00400A,主動國泰動能高息,🔴 轉弱,15.1,ETF,🔴 轉弱,跌破 M10，不主動加碼,13.05,,-2.68,0.38,0.38,N,Y,2026-05-20 12:54:21
2026-05-18,主動ETF,00983A,00983A,🔴 轉弱,13.3,ETF,🔴 轉弱,跌破 M10，不主動加碼,11.27,,-0.62,0.0,0.0,N,N,2026-05-20 12:54:21
2026-05-18,特殊關注,6284,佳邦,特殊關注,102.2,電子零組件業,🔥 第一段 (主升起漲),🚀 穩步多頭,85.0999984741211,,0.0,7.64,7.64,Y,N,2026-05-20 12:54:25
2026-05-18,特殊關注,3178,公準,特殊關注,92.7,半導體業,⏳ 觀望醞釀,⚪ 震盪,71.5999984741211,,-6.42,0.56,0.56,N,Y,2026-05-20 12:54:26
2026-05-18,特殊關注,4584,君帆,特殊關注,89.0,電機機械,🔥 第一段 (主升起漲),🔥 爆量主升,44.29999923706055,,-5.3,3.61,3.61,Y,Y,2026-05-20 12:54:26
2026-05-18,產業輪動,IND生技醫療業,生技醫療業,🔥 主戰場,95.0,生技醫療業,🔥 主戰場,可信度 高｜樣本 42｜只做龍頭回測，不追第三根,,"4198,6499,6576,4126,4153,4111,4107,4744,6527,6615",-0.6,0.97,0.97,N,N,2026-05-20 12:54:28
2026-05-18,產業輪動,IND電子零組件業,電子零組件業,🔥 主戰場,91.0,電子零組件業,🔥 主戰場,可信度 高｜樣本 59｜只做龍頭回測，不追第三根,,"3217,5464,6284,5475,4939,8358,6274,6173,5309,3191",0.28,6.51,6.51,Y,N,2026-05-20 12:54:31
2026-05-18,產業輪動,IND光電業,光電業,🔥 主戰場,86.0,光電業,🔥 主戰場,可信度 高｜樣本 19｜只做龍頭回測，不追第三根,,"3339,3516,4729,6419,6244,3128,6517,6167,3623,7753",-0.66,3.24,3.24,Y,N,2026-05-20 12:54:33
2026-05-18,產業輪動,IND半導體業,半導體業,🔥 主戰場,83.0,半導體業,🔥 主戰場,可信度 高｜樣本 67｜只做龍頭回測，不追第三根,,"4991,6411,6462,3178,4951,3122,4971,7734,6187,8227",-4.88,2.14,2.14,N,Y,2026-05-20 12:54:35
2026-05-18,產業輪動,IND電子通路業,電子通路業,🔥 主戰場,76.0,電子通路業,🔥 主戰場,可信度 中｜樣本 9｜只做龍頭回測，不追第三根,,"3444,6227,6270,6113,6265,3224,8096,3360,8032",-2.64,2.5,2.5,N,Y,2026-05-20 12:54:37
2026-05-18,產業輪動,IND通信網路業,通信網路業,🟠 資金升溫,69.0,通信網路業,🟠 資金升溫,可信度 高｜樣本 24｜可找族群強股小倉試單,,"8048,8097,4979,6190,3095,6263,4903,4909,8059,3221",-1.64,4.35,4.35,Y,N,2026-05-20 12:54:39
2026-05-18,產業輪動,IND電機機械,電機機械,🟠 資金升溫,69.0,電機機械,🟠 資金升溫,可信度 高｜樣本 22｜可找族群強股小倉試單,,"4584,2070,4543,4563,1570,4561,6609,7709,3685,4513",-0.18,4.32,4.32,Y,N,2026-05-20 12:54:41
2026-05-18,產業輪動,IND文化創意業,文化創意業,🟠 資金升溫,64.0,文化創意業,🟠 資金升溫,可信度 高｜樣本 12｜可找族群強股小倉試單,,"9949,3546,5478,4806,6294,4946,6542,6596,8446,6101",0.08,1.58,1.58,N,N,2026-05-20 12:54:43
2026-05-12,B級,4741,泓瀚,B,221.0,化學工業,🔥 第一段 (主升起漲),🚀 穩步多頭,65.19999694824219,,-1.23,5.67,5.67,Y,N,2026-05-13 09:41:18
2026-05-12,B級,3444,利機,B,203.1,電子通路業,🔥 第一段 (主升起漲),🚀 穩步多頭,94.5,,-0.85,1.69,1.69,N,N,2026-05-13 09:41:19
2026-05-12,B級,3583,辛耘,B,171.2,半導體業,🔥 第一段 (主升起漲),🔥 爆量主升,952.0,,1.47,2.0,2.0,N,N,2026-05-13 09:41:19
2026-05-12,B級,3443,創意,B,151.5,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,5570.0,,-4.31,-2.06,-2.06,N,Y,2026-05-13 09:41:19
2026-05-12,B級,8048,德勝,B,150.3,通信網路業,🔥 第一段 (主升起漲),🚀 穩步多頭,63.400001525878906,,-2.84,-1.1,-1.1,N,Y,2026-05-13 09:41:19
2026-05-12,B級,7734,印能科技,B,139.2,半導體業,🔥 第一段 (主升起漲),🔥 爆量主升,3980.0,,9.92,9.92,9.92,Y,N,2026-05-13 09:41:20
2026-05-12,B級,3227,原相,B,135.5,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,228.5,,-2.41,1.97,1.97,N,Y,2026-05-13 09:41:20
2026-05-12,B級,8059,凱碩,B,134.8,通信網路業,🔥 第一段 (主升起漲),🚀 穩步多頭,21.350000381469727,,-3.98,0.23,0.23,N,Y,2026-05-13 09:41:20
2026-05-12,B級,2303,聯電,B,134.5,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,104.5,,-5.84,-2.39,-2.39,N,Y,2026-05-13 09:41:20
2026-05-12,B級,7750,新代,B,128.4,電機機械,🔥 第一段 (主升起漲),🚀 穩步多頭,3070.0,,-9.93,-0.65,-0.65,N,Y,2026-05-13 09:41:20
2026-05-12,B級,3661,世芯-KY,B,126.8,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,5310.0,,-9.98,-3.3,-3.3,N,Y,2026-05-13 09:41:21
2026-05-12,B級,3711,日月光投控,B,122.1,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,555.0,,-1.26,0.36,0.36,N,N,2026-05-13 09:41:21
2026-05-12,B級,6669,緯穎,B,113.5,電腦及週邊設備業,🔥 第一段 (主升起漲),🚀 穩步多頭,5790.0,,-3.63,0.17,0.17,N,Y,2026-05-13 09:41:21
2026-05-12,B級,2049,上銀,B,112.1,電機機械,🔥 第一段 (主升起漲),🔥 爆量主升,367.5,,-0.82,1.09,1.09,N,N,2026-05-13 09:41:21
2026-05-12,B級,6768,志強-KY,B,101.2,運動休閒,🔥 第一段 (主升起漲),🚀 穩步多頭,90.4000015258789,,-2.99,0.0,0.0,N,Y,2026-05-13 09:41:21
2026-05-12,S級,6187,萬潤,S,166.4,半導體業,⏳ 觀望醞釀,⚪ 震盪,1220.0,,0.41,2.87,2.87,N,N,2026-05-13 09:41:22
2026-05-12,S級,3131,弘塑,S,139.4,其他電子業,🔥 第一段 (主升起漲),🚀 穩步多頭,3140.0,,-3.66,-0.64,-0.64,N,Y,2026-05-13 09:41:22
2026-05-12,S級,2330,台積電,S,121.8,半導體業,🛡️ 第二段 (均線回踩),🛡️ 回踩 M10,2255.0,,-1.55,-0.67,-0.67,N,N,2026-05-13 09:41:22
2026-05-12,主動ETF,00982A,00982A,🟠 過熱不追,100.0,ETF,🟠 過熱不追,乖離偏高，只續抱不追價,23.27,,-0.6,-0.04,-0.04,N,N,2026-05-13 09:41:22
2026-05-12,主動ETF,00980A,00980A,🟠 過熱不追,100.0,ETF,🟠 過熱不追,乖離偏高，只續抱不追價,24.13,,-0.99,-0.75,-0.75,N,N,2026-05-13 09:41:22
2026-05-12,主動ETF,00981A,00981A,🟠 過熱不追,90.6,ETF,🟠 過熱不追,乖離偏高，只續抱不追價,29.97,,-2.3,-1.4,-1.4,N,Y,2026-05-13 09:41:22
